fragment_formula,fragment_mass,polarity,reference
C7HF12SO3- ,392.94603,neg,Koelmel et al. 2022
C11HF12S- ,392.961285,neg,Koelmel et al. 2022
C9F15- ,392.976598,neg,Koelmel et al. 2022
C9H3F14O- ,392.9965836,neg,Koelmel et al. 2022
C8F15O- ,396.971513,neg,Koelmel et al. 2022
C8F15O- ,396.971513,neg,Koelmel et al. 2022
C10H4F11SO2- ,396.9761856,neg,Koelmel et al. 2022
C6HF13NO2S- ,397.9525922,neg,Koelmel et al. 2022
C6F13SO3- ,398.9366086,neg,Koelmel et al. 2022
C10H8O2SF11- ,401.007484,neg,Koelmel et al. 2022
C11H17F5O5NS2- ,402.0473772,neg,Koelmel et al. 2022
C11H4F9O4S ,402.9692092,neg,Koelmel et al. 2022
C10F15- ,404.976598,neg,Koelmel et al. 2022
C10H18F5N2O5S2- ,405.0582758,neg,Koelmel et al. 2022
C4F13S2O3- ,406.9086806,neg,Koelmel et al. 2022
C9F15O- ,408.971513,neg,Koelmel et al. 2022
C9H3SF14- ,408.9737406,neg,Koelmel et al. 2022
C9H11F7NO5S2- ,409.997236,neg,Koelmel et al. 2022
C7F13SO3- ,410.9366086,neg,Koelmel et al. 2022
C10H5F10O4S- ,410.975437,neg,Koelmel et al. 2022
C7H3F13NO2S- ,411.9682414,neg,Koelmel et al. 2022
C7H2F13SO3- ,412.9522578,neg,Koelmel et al. 2022
C8F15O2- ,412.966428,neg,Koelmel et al. 2022
C11H2F13S- ,412.9675128,neg,Koelmel et al. 2022
C10H14F9N2O3S- ,413.0586882,neg,Koelmel et al. 2022
C12H4F9O4S- ,414.9692092,neg,Koelmel et al. 2022
C11F15- ,416.976598,neg,Koelmel et al. 2022
C10H5F12SO2- ,416.9824134,neg,Koelmel et al. 2022
C9H8F11N2O2S- ,417.013632,neg,Koelmel et al. 2022
C8F17- ,418.9734044,neg,Koelmel et al. 2022
C10F15O- ,420.971513,neg,Koelmel et al. 2022
C10H18F5N2O6S2- ,421.0531908,neg,Koelmel et al. 2022
C12F13S- ,422.9518636,neg,Koelmel et al. 2022
C8H2F13SO3- ,424.9522578,neg,Koelmel et al. 2022
C11H3F12SO2- ,426.9667642,neg,Koelmel et al. 2022
C9HF16O- ,428.9777408,neg,Koelmel et al. 2022
C9H4SF15- ,428.9799684,neg,Koelmel et al. 2022
C7F14SO3- ,429.9350118,neg,Koelmel et al. 2022
C7HF14SO3- ,430.9428364,neg,Koelmel et al. 2022
C9F17- ,430.9734044,neg,Koelmel et al. 2022
C7F15SO2- ,432.9385,neg,Koelmel et al. 2022
C12H3F10SO4- ,432.9597878,neg,Koelmel et al. 2022
C11H3F14S- ,432.9737406,neg,Koelmel et al. 2022
C11H3F14S- ,432.9737406,neg,Koelmel et al. 2022
C10H8F11O4S- ,432.997314,neg,Koelmel et al. 2022
C10H12F11N2O2S- ,433.0449304,neg,Koelmel et al. 2022
C9H9F11O3N2S- ,434.0163716,neg,Koelmel et al. 2022
C8F17O- ,434.9683194,neg,Koelmel et al. 2022
C11H20F5N2O6S2- ,435.06884,neg,Koelmel et al. 2022
C12H17F7O4NS2- ,436.0492686,neg,Koelmel et al. 2022
C11HF16- ,436.9828258,neg,Koelmel et al. 2022
C10H6F13SO2- ,436.9886412,neg,Koelmel et al. 2022
C9H5F13NO2S- ,437.9838906,neg,Koelmel et al. 2022
C10H2SF15- ,438.9643192,neg,Koelmel et al. 2022
C9H6F13NO2S- ,438.9917152,neg,Koelmel et al. 2022
C8HF14SO3- ,442.9428364,neg,Koelmel et al. 2022
C12HF14S- ,442.9580914,neg,Koelmel et al. 2022
C10F17- ,442.9734044,neg,Koelmel et al. 2022
C10H3F16O- ,442.99339,neg,Koelmel et al. 2022
C9F17O- ,446.9683194,neg,Koelmel et al. 2022
C11H4F13SO2- ,446.972992,neg,Koelmel et al. 2022
C7HF15NO2S- ,447.9493986,neg,Koelmel et al. 2022
C7F15SO3- ,448.933415,neg,Koelmel et al. 2022
C11H8O2SF13- ,451.0042904,neg,Koelmel et al. 2022
C12H17F7O5NS2- ,452.0441836,neg,Koelmel et al. 2022
C12H4F11SO4- ,452.9660156,neg,Koelmel et al. 2022
C11F17- ,454.9734044,neg,Koelmel et al. 2022
C11H18F7N2O5S2- ,455.0550822,neg,Koelmel et al. 2022
C5F15S2O3- ,456.905487,neg,Koelmel et al. 2022
C8HF14SO4- ,458.9377514,neg,Koelmel et al. 2022
C10F17O- ,458.9683194,neg,Koelmel et al. 2022
C10H3SF16- ,458.970547,neg,Koelmel et al. 2022
C10H11F9NO5S2- ,459.9940424,neg,Koelmel et al. 2022
C8F15SO3- ,460.933415,neg,Koelmel et al. 2022
C8H3F15NO2S- ,461.9650478,neg,Koelmel et al. 2022
C8H2F15SO3- ,462.9490642,neg,Koelmel et al. 2022
C9F17O2- ,462.9632344,neg,Koelmel et al. 2022
C12H2F15S- ,462.9643192,neg,Koelmel et al. 2022
C11H14F11N2O3S- ,463.0554946,neg,Koelmel et al. 2022
C13H4F11O4S- ,464.9660156,neg,Koelmel et al. 2022
C12F17- ,466.9734044,neg,Koelmel et al. 2022
C11H5F14SO2- ,466.9792198,neg,Koelmel et al. 2022
C10H8F13N2O2S- ,467.0104384,neg,Koelmel et al. 2022
C9F19- ,468.9702108,neg,Koelmel et al. 2022
C11F17O- ,470.9683194,neg,Koelmel et al. 2022
C11H18F7N2O6S2- ,471.0499972,neg,Koelmel et al. 2022
C13F15S- ,472.94867,neg,Koelmel et al. 2022
C12H5F12O4S- ,472.9722434,neg,Koelmel et al. 2022
C9H2F15SO3- ,474.9490642,neg,Koelmel et al. 2022
C12H3F14SO2- ,476.9635706,neg,Koelmel et al. 2022
C10HF18O- ,478.9745472,neg,Koelmel et al. 2022
C10H4SF17- ,478.9767748,neg,Koelmel et al. 2022
C8F16SO3- ,479.9318182,neg,Koelmel et al. 2022
C8HF16SO3- ,480.9396428,neg,Koelmel et al. 2022
C10F19- ,480.9702108,neg,Koelmel et al. 2022
C8F17SO2- ,482.9353064,neg,Koelmel et al. 2022
C12H3F16S- ,482.970547,neg,Koelmel et al. 2022
C12H3F16S- ,482.970547,neg,Koelmel et al. 2022
C11H8F13O4S- ,482.9941204,neg,Koelmel et al. 2022
C11H12F13N2O2S- ,483.0417368,neg,Koelmel et al. 2022
C10H9F13O3N2S- ,484.013178,neg,Koelmel et al. 2022
C9F18Cl-,484.9406606,neg,Koelmel et al. 2022
C9F19O- ,484.9651258,neg,Koelmel et al. 2022
C12H20F7N2O6S2- ,485.0656464,neg,Koelmel et al. 2022
C13H17F9O4NS2- ,486.046075,neg,Koelmel et al. 2022
C12HF18- ,486.9796322,neg,Koelmel et al. 2022
C11H6F15SO2- ,486.9854476,neg,Koelmel et al. 2022
C10H5F15NO2S- ,487.980697,neg,Koelmel et al. 2022
